common_name,scientific_name
Creek Chub,Semotilis atromaculatus
Fathead Minnow,Pimephales promelas
Bluntnose Minnow,Pimephales notatus
Southern Redbelly Dace,Phoxinus erythrogaster
Suckermouth Minnows,Phenocobius mirabilis
Ringed Crayfish,Orconectes neglectus
Water Nymph Crayfish,Orconectes nais
Slender Madtom,Noturus exilis
Sand Shiner,Notropis stramineus
Carmine Shiner,Notropis percobromus
Common Shiner,Luxilus cornutus
Longear Sunfish,Lepomis megalotis
Bluegill,Lepomis macrochirus
Orangespotted Sunfish,Lepomis humilis
Green Sunfish,Lepomis cyanellus
Western Mosquitofish,Gambusia affinis
Orangethroated Darter,Etheostoma spectabile
Johnny Darter,Etheostoma nigrum
Red Shiner,Cyprinella lutrensis
White Sucker,Catostomus commersoni
Central Stoneroller,Campostoma anamolum
